owner_name,property_address,mailing_address,city,state,zip,parcel_id,property_type,source_url,raw
,,,CLB,CA,,7070001901,,https://portal.assessor.lacounty.gov/parceldetail/7070001901,"{""OBJECTID"": 1, ""APN"": ""7070001901"", ""APNI"": 7070001901, ""BOOK_NO"": 7070, ""PAGE_NO"": 1, ""PARCEL_NO"": 901, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070001901"", ""GlobalID"": ""c7480677-343b-4de5-9cc7-38c669195ef5"", ""Shape__Area"": 24763.80078125, ""Shape__Length"": 1208.9845576977566}"
,,,CLB,CA,,7070001902,,https://portal.assessor.lacounty.gov/parceldetail/7070001902,"{""OBJECTID"": 2, ""APN"": ""7070001902"", ""APNI"": 7070001902, ""BOOK_NO"": 7070, ""PAGE_NO"": 1, ""PARCEL_NO"": 902, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070001902"", ""GlobalID"": ""87b07c8f-b5e1-418e-8ed4-3ecfbcfb062f"", ""Shape__Area"": 16087.2890625, ""Shape__Length"": 900.8342736428931}"
,,,CLB,CA,,7070001905,,https://portal.assessor.lacounty.gov/parceldetail/7070001905,"{""OBJECTID"": 3, ""APN"": ""7070001905"", ""APNI"": 7070001905, ""BOOK_NO"": 7070, ""PAGE_NO"": 1, ""PARCEL_NO"": 905, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070001905"", ""GlobalID"": ""cf461cf0-2e72-4e42-a2d5-a5345a5ef3cd"", ""Shape__Area"": 142413.2734375, ""Shape__Length"": 1676.9877431135385}"
,,,CLB,CA,,7070002032,,https://portal.assessor.lacounty.gov/parceldetail/7070002032,"{""OBJECTID"": 4, ""APN"": ""7070002032"", ""APNI"": 7070002032, ""BOOK_NO"": 7070, ""PAGE_NO"": 2, ""PARCEL_NO"": 32, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070002032"", ""GlobalID"": ""3b78348c-268e-4b16-9543-91601b801ba1"", ""Shape__Area"": 8178.375, ""Shape__Length"": 353.62310506770723}"
,,,CLB,CA,,7070002017,,https://portal.assessor.lacounty.gov/parceldetail/7070002017,"{""OBJECTID"": 5, ""APN"": ""7070002017"", ""APNI"": 7070002017, ""BOOK_NO"": 7070, ""PAGE_NO"": 2, ""PARCEL_NO"": 17, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070002017"", ""GlobalID"": ""f73e78c4-5124-4ca6-a273-581842f0ce28"", ""Shape__Area"": 899.4375, ""Shape__Length"": 127.00820256777448}"
,,,CLB,CA,,7070002018,,https://portal.assessor.lacounty.gov/parceldetail/7070002018,"{""OBJECTID"": 6, ""APN"": ""7070002018"", ""APNI"": 7070002018, ""BOOK_NO"": 7070, ""PAGE_NO"": 2, ""PARCEL_NO"": 18, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070002018"", ""GlobalID"": ""c390bc68-9b66-4e04-a817-076bedf1e542"", ""Shape__Area"": 837.01953125, ""Shape__Length"": 126.1200179360121}"
,,,CLB,CA,,7070003012,,https://portal.assessor.lacounty.gov/parceldetail/7070003012,"{""OBJECTID"": 7, ""APN"": ""7070003012"", ""APNI"": 7070003012, ""BOOK_NO"": 7070, ""PAGE_NO"": 3, ""PARCEL_NO"": 12, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070003012"", ""GlobalID"": ""5de7fa34-882a-4423-a494-7f1c0188dc18"", ""Shape__Area"": 771.58203125, ""Shape__Length"": 113.71436724431751}"
,,,CLB,CA,,7070003013,,https://portal.assessor.lacounty.gov/parceldetail/7070003013,"{""OBJECTID"": 8, ""APN"": ""7070003013"", ""APNI"": 7070003013, ""BOOK_NO"": 7070, ""PAGE_NO"": 3, ""PARCEL_NO"": 13, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070003013"", ""GlobalID"": ""fecedde7-163c-4dfc-8c78-e5480e21459b"", ""Shape__Area"": 683.21484375, ""Shape__Length"": 111.21791082529103}"
,,,CLB,CA,,7070003014,,https://portal.assessor.lacounty.gov/parceldetail/7070003014,"{""OBJECTID"": 9, ""APN"": ""7070003014"", ""APNI"": 7070003014, ""BOOK_NO"": 7070, ""PAGE_NO"": 3, ""PARCEL_NO"": 14, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070003014"", ""GlobalID"": ""2ff32b62-259e-4936-bfe7-76f7386ac950"", ""Shape__Area"": 694.3046875, ""Shape__Length"": 111.8761797056419}"
,,,CLB,CA,,7070002019,,https://portal.assessor.lacounty.gov/parceldetail/7070002019,"{""OBJECTID"": 10, ""APN"": ""7070002019"", ""APNI"": 7070002019, ""BOOK_NO"": 7070, ""PAGE_NO"": 2, ""PARCEL_NO"": 19, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070002019"", ""GlobalID"": ""9cb50a71-da73-4b36-bd64-dd940e046427"", ""Shape__Area"": 986.05859375, ""Shape__Length"": 133.56277943663852}"
,,,CLB,CA,,7070003015,,https://portal.assessor.lacounty.gov/parceldetail/7070003015,"{""OBJECTID"": 11, ""APN"": ""7070003015"", ""APNI"": 7070003015, ""BOOK_NO"": 7070, ""PAGE_NO"": 3, ""PARCEL_NO"": 15, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070003015"", ""GlobalID"": ""8b38a3b7-b84e-437f-a498-190f1a0f014d"", ""Shape__Area"": 708.33203125, ""Shape__Length"": 111.07612106703783}"
,,,CLB,CA,,7070006016,,https://portal.assessor.lacounty.gov/parceldetail/7070006016,"{""OBJECTID"": 12, ""APN"": ""7070006016"", ""APNI"": 7070006016, ""BOOK_NO"": 7070, ""PAGE_NO"": 6, ""PARCEL_NO"": 16, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070006016"", ""GlobalID"": ""2c1b8916-796b-4267-9a63-b70bf3d308dd"", ""Shape__Area"": 787.13671875, ""Shape__Length"": 114.50709350039233}"
,,,CLB,CA,,7070003011,,https://portal.assessor.lacounty.gov/parceldetail/7070003011,"{""OBJECTID"": 13, ""APN"": ""7070003011"", ""APNI"": 7070003011, ""BOOK_NO"": 7070, ""PAGE_NO"": 3, ""PARCEL_NO"": 11, ""MUNICIPALITY"": ""CLB"", ""STACKEDAPN"": ""N"", ""LACO_URL"": ""https://portal.assessor.lacounty.gov/parceldetail/7070003011"", ""GlobalID"": ""2c7915c1-bfe9-4525-99ca-74feae153f80"", ""Shape__Area"": 798.61328125, ""Shape__Length"": 119.79764509424245}"
